class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1646,1403,1466,9292,3112,13807,22.539291663648875
neutral,5684,3344,793,3986,6477,13807,46.91098718041573
negative,1355,352,2854,9246,4209,13807,30.484536829144638
unknown,0,23,9,13775,9,13807,0.0651843267907583
