class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1536,1075,1580,9640,3116,13831,22.529101294194202
neutral,5766,3483,721,3861,6487,13831,46.90188706528812
negative,1524,416,2694,9197,4218,13831,30.496710288482394
unknown,0,31,10,13790,10,13831,0.07230135203528305
