class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1594,1092,1518,9603,3112,13807,22.539291663648875
neutral,5705,3317,772,4013,6477,13807,46.91098718041573
negative,1631,436,2578,9162,4209,13807,30.484536829144638
unknown,0,32,9,13766,9,13807,0.0651843267907583
