class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1541,1053,1575,9662,3116,13831,22.529101294194202
neutral,5738,3430,749,3914,6487,13831,46.90188706528812
negative,1593,436,2625,9177,4218,13831,30.496710288482394
unknown,0,40,10,13781,10,13831,0.07230135203528305
