class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1198,739,1149,7367,2347,10453,22.452884339424088
neutral,4288,2531,576,3058,4864,10453,46.53209604898115
negative,1327,353,1906,6867,3233,10453,30.928919927293602
unknown,0,17,9,10427,9,10453,0.08609968430115757
