class,tp,fp,fn,tn,support,total,pct_support_of_total
positive,1596,994,1520,9721,3116,13831,22.529101294194202
neutral,5712,3303,775,4041,6487,13831,46.90188706528812
negative,1735,469,2483,9144,4218,13831,30.496710288482394
unknown,0,22,10,13799,10,13831,0.07230135203528305
